video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7311148784401059103,2023-12-10T20:51:31,60.0,US,,5.0,0.0,0.0,246.0,Achromic Clothing Photo shoot 2023,False,,pizzaxchampagne,Pizza&Champagne,,,,,,False
7309886915690450181,2023-12-07T11:14:39,30.0,NG,,153900.0,8906.0,5898.0,2600000.0,CHOIR MINISTRATION GONE WRONG .... who give you mix 🤣🤣old skool Sunday 🧓🧓... @Greater Glory Ministries Int'l ,False,,infinito_wears,infinito bespoken wears,,,,,,False
7303157454374718726,2023-11-19T08:00:54,156.0,ZA,,190300.0,898.0,1762.0,1700000.0,Yoh!!! This date with the Legendary Dawn Thandeka King was so Awkward! I really tried! ,False,,lasizwe,Lasizwe,,,,,,True
7300634390042873094,2023-11-12T12:50:07,183.0,GH,,184500.0,5692.0,2491.0,2000000.0,@Akrobeto to the global 😂😂😂 #apologies #fifa #premierleague #presenter #utvghana #akrobeto #viral #fypシ゚viral ,False,,sirrdanys,SirrDanys,,,,,,False
7310795444341198122,2023-12-09T22:00:20,10.0,US,,607400.0,701.0,1211.0,5200000.0,rate our dance skills 😂😂🔥 @theyenvybrooklyn #ddg #fyp #shedontplay “SHE DONT PLAY” 12/15!!!,False,,pontiacmadeddg,DDG,,,,,,True
7301040842968468741,2023-11-13T15:07:22,31.0,NG,,13600.0,147.0,57.0,139700.0,Anni3 - DND x Charm (cover) (lyrics) @Anni3 #brightolyrics #afrobeat #foryoupage #lyricsvideo #foryou #viral #lyrics #music #naijatiktok #naijalyrics #xyzbc #fyp ,False,,brightolyrics,brighto,,,,,,False
7310115485381741870,2023-12-08T02:01:47,190.0,US,,68100.0,995.0,625.0,583400.0,Men Don’t Want Women Who Can’t Walk Away From Them ✍🏽✨ My Dms is full of people asking about this ! Watch until the end she is dropping the gems on this one ! If you wanna watch the full video it’s always titled the same as her YT channel. But comment if you want a part 2 !  #sprinklesprinkle #sheraseven #sheraforpresident #femmefatale #darkfeminineenergy #fyp ,False,,sherasevenforpres,SheraSevenForPresident,,,,,,False
7306667662493388062,2023-11-28T19:02:28,18.0,US,,216000.0,6914.0,257.0,2500000.0,Im broke af yall 😖,False,,itstyskinn,Tyskinn,,,,,,False
7305955949536120094,2023-11-26T21:00:39,53.0,US,"how to reverse image search, reverse image search, altard state, altard state walmart, white label products, altard state romper walmart, white labeling, fast fashion, Clothes, Streetfashion",282200.0,3221.0,2993.0,2000000.0,"Literally reverse image search, google labels, etc on everything you buy. These boutique-style chain stores are especially bad about mark ip #greenscreen #shopping #pricetag #fastfashion ",False,,hannahgiardino,hannah,,,,,,False
7307732013929303328,2023-12-01T15:52:33,67.0,GB,,45000.0,908.0,460.0,323100.0,Shatta di3 full time comedian😂 @Shatta wale  #ghana / #ghanatiktok🇬🇭 / #ghanatiktokers🇬🇭🇬🇭🇬🇭 / #ghtiktok / #ghanacomedy / #ghanameme / #ghanafunnyvideos / #shattawale ,False,,ghanaspace,Ghana Space,,,,,,False
